job,gender,club
got,male,no
no,male,yes
got,male,no
no,male,no
no,female,yes
got,male,yes
no,female,yes
got,male,no
no,female,no
no,male,yes
no,female,yes
got,female,no
no,female,no
no,male,no
no,female,yes
got,female,yes
got,female,no
got,male,yes
no,female,no
got,male,no
got,male,yes
no,female,yes
got,female,yes
no,male,no
got,female,yes
no,female,no
no,female,yes
got,female,no
got,male,no
got,male,no
no,male,yes
no,female,no
got,female,no
no,female,no
got,male,yes
got,male,no
got,male,no
got,male,yes
no,male,yes
no,female,yes
no,male,yes
got,male,no
got,male,no
no,female,no
got,male,no
no,male,yes
got,female,no
got,female,yes
got,female,yes
no,male,no
got,male,yes
no,female,yes
no,male,yes
got,male,yes
got,male,no
no,female,yes
got,female,no
got,male,no
got,male,no
no,male,no
no,male,no
no,female,yes
no,male,yes
no,female,no
no,female,yes
no,female,no
no,male,no
no,female,no
got,female,yes
no,male,no
got,female,no
got,male,no
no,female,yes
got,female,no
got,male,yes
no,female,no
got,female,no
got,female,yes
no,female,yes
got,male,yes
no,female,yes
got,male,no
no,female,no
no,male,yes
no,female,yes
no,female,yes
got,male,yes
no,female,yes
got,male,no
got,male,no
got,female,yes
no,female,yes
got,female,yes
got,female,yes
got,female,no
no,female,no
no,female,no
no,female,yes
got,female,no
